,match_id,season,date,seed_type,bastion_type,player_a_uuid,player_b_uuid,player_a_nickname,player_b_nickname,time,nether_enter_a,nether_enter_b,bastion_split_a,bastion_split_b,fortress_split_a,fortress_split_b,nav_stronghold_a,nav_stronghold_b,end_enter_a,end_enter_b,end_fight_a,end_fight_b,bastion_first_a,bastion_first_b,elo_a_before,elo_b_before,has_player_forfeited,winner_uuid
0,2803910,9,1755742042,RUINED_PORTAL,STABLES,185b039b70284aa9a98850db4ba88e0d,2ef2bfed3d084649b56290328970ace9,ElegantRobin,nahhann,562.592,70.104,75.972,167.001,,117.46,30.576,28.302,20.443,512.017,,50.575,,1,1,1481,1651,False,185b039b70284aa9a98850db4ba88e0d
1,2803960,9,1755744563,DESERT_TEMPLE,HOUSING,253b53d832ab4bafb5ee0308d5164ccf,5ee577fdc1af45d3a6fb3e086cc293fb,Aquacorde,Ranik_,581.443,129.188,,108.045,120.0,131.814,,30.047,,506.111,,75.332,,1,1,1574,1636,False,253b53d832ab4bafb5ee0308d5164ccf
2,2804064,9,1755745774,RUINED_PORTAL,BRIDGE,253b53d832ab4bafb5ee0308d5164ccf,78ea25c3db9a4830ba7e78074bd6fd10,Aquacorde,ogurikappa,443.339,80.589,69.779,127.145,111.003,86.187,82.417,22.826,22.995,412.054,397.81,,,1,1,1606,1646,True,253b53d832ab4bafb5ee0308d5164ccf
3,2804294,9,1755752305,VILLAGE,TREASURE,253b53d832ab4bafb5ee0308d5164ccf,939ddf85303441de901d60bfa4109318,Aquacorde,thecamo6,714.868,134.149,145.415,191.428,122.661,129.84,,60.854,77.697,618.804,,96.064,,1,1,1582,1664,False,253b53d832ab4bafb5ee0308d5164ccf
4,2804359,9,1755753018,SHIPWRECK,TREASURE,2ef2bfed3d084649b56290328970ace9,253b53d832ab4bafb5ee0308d5164ccf,nahhann,Aquacorde,579.03,93.932,100.742,151.999,164.997,153.186,119.731,16.653,27.831,526.648,536.563,52.382,,1,1,1630,1643,False,2ef2bfed3d084649b56290328970ace9
5,2804383,9,1755753309,RUINED_PORTAL,BRIDGE,3c8757790ab0400b8b9e3936e0dd535b,8d52ed9bf12146c68321f1729e28cbf5,doogile,WarioTime1,294.359,92.013,96.093,,,,,,,,,,,0,0,1740,1414,True,3c8757790ab0400b8b9e3936e0dd535b
6,2804458,9,1755753995,VILLAGE,BRIDGE,3c8757790ab0400b8b9e3936e0dd535b,2e4fbe60568549f7a6666e1ced1ae385,doogile,R3nR,502.2,106.659,125.808,135.002,155.015,75.445,,21.208,,446.745,,55.455,,1,1,1751,1350,False,3c8757790ab0400b8b9e3936e0dd535b
7,2804467,9,1755754074,BURIED_TREASURE,BRIDGE,2ef2bfed3d084649b56290328970ace9,78ea25c3db9a4830ba7e78074bd6fd10,nahhann,ogurikappa,554.547,98.062,116.372,153.999,147.998,104.684,112.721,40.585,51.21,499.811,479.864,54.736,,1,1,1650,1627,False,2ef2bfed3d084649b56290328970ace9
8,2804511,9,1755754528,SHIPWRECK,HOUSING,3c8757790ab0400b8b9e3936e0dd535b,a0a672a0bc194540bc195220dc170dba,doogile,JackoWacko62,477.809,117.068,,166.002,,,,,,,,,,1,0,1768,1533,True,
9,2804517,9,1755754585,BURIED_TREASURE,STABLES,253b53d832ab4bafb5ee0308d5164ccf,25349f93cf194f3baeee93d024eccc21,Aquacorde,retropog,656.537,174.103,106.854,189.75,202.953,74.138,73.157,38.326,51.372,607.805,605.6,48.732,,1,1,1596,1659,False,253b53d832ab4bafb5ee0308d5164ccf
10,2804562,9,1755755120,RUINED_PORTAL,STABLES,25349f93cf194f3baeee93d024eccc21,3c8757790ab0400b8b9e3936e0dd535b,retropog,doogile,490.816,63.902,71.364,,147.997,115.632,99.163,,20.4,,445.312,,45.504,1,1,1632,1747,False,3c8757790ab0400b8b9e3936e0dd535b
11,2804589,9,1755755326,DESERT_TEMPLE,BRIDGE,e3825f7ff9954031a0b21dbe24f03efb,253b53d832ab4bafb5ee0308d5164ccf,SweepJT,Aquacorde,624.455,177.599,184.353,177.105,133.985,66.112,88.661,,23.676,,577.661,,46.794,1,1,1428,1626,False,253b53d832ab4bafb5ee0308d5164ccf
12,2804600,9,1755755428,SHIPWRECK,TREASURE,d7d0b271136647fea7398a444ab51c13,2ef2bfed3d084649b56290328970ace9,JustAltoid,nahhann,625.689,128.19,118.467,228.816,220.598,47.743,95.685,,33.799,,568.746,,56.943,1,1,1564,1674,False,2ef2bfed3d084649b56290328970ace9
13,2804650,9,1755755890,DESERT_TEMPLE,HOUSING,3c8757790ab0400b8b9e3936e0dd535b,a0a672a0bc194540bc195220dc170dba,doogile,JackoWacko62,665.52,116.182,,170.005,,96.092,,21.881,,612.501,,53.019,,1,0,1766,1531,False,3c8757790ab0400b8b9e3936e0dd535b
14,2804677,9,1755756096,RUINED_PORTAL,TREASURE,253b53d832ab4bafb5ee0308d5164ccf,d7d0b271136647fea7398a444ab51c13,Aquacorde,JustAltoid,617.938,98.259,83.984,176.04,213.0,100.028,109.375,58.636,,567.917,,50.021,,1,1,1634,1550,False,253b53d832ab4bafb5ee0308d5164ccf
15,2804725,9,1755756557,RUINED_PORTAL,HOUSING,3c8757790ab0400b8b9e3936e0dd535b,2e4fbe60568549f7a6666e1ced1ae385,doogile,R3nR,429.901,60.392,62.133,122.403,170.999,105.509,125.008,20.602,,374.541,,55.36,,1,1,1781,1376,False,3c8757790ab0400b8b9e3936e0dd535b
16,2804729,9,1755756586,DESERT_TEMPLE,BRIDGE,25349f93cf194f3baeee93d024eccc21,2ef2bfed3d084649b56290328970ace9,retropog,nahhann,584.594,140.252,112.247,,136.007,93.73,145.866,,37.074,,531.735,,52.859,1,1,1639,1687,False,2ef2bfed3d084649b56290328970ace9
17,2804761,9,1755756949,BURIED_TREASURE,STABLES,253b53d832ab4bafb5ee0308d5164ccf,be4ad7e999e14a74974d47ac650062a3,Aquacorde,bbiddd,783.659,96.759,,244.995,215.948,134.055,103.24,33.764,,655.307,,128.352,,1,1,1652,1504,False,253b53d832ab4bafb5ee0308d5164ccf
18,2804773,9,1755757067,SHIPWRECK,STABLES,3c8757790ab0400b8b9e3936e0dd535b,939ddf85303441de901d60bfa4109318,doogile,thecamo6,456.793,110.116,127.271,126.995,133.661,79.548,73.867,4.792,,405.142,,51.651,,1,1,1783,1566,False,3c8757790ab0400b8b9e3936e0dd535b
19,2804803,9,1755757471,RUINED_PORTAL,BRIDGE,253b53d832ab4bafb5ee0308d5164ccf,2ef2bfed3d084649b56290328970ace9,Aquacorde,nahhann,470.543,54.367,52.408,174.03,112.995,98.223,98.06,,21.954,,416.191,,54.352,1,1,1699,1702,False,2ef2bfed3d084649b56290328970ace9
20,2804839,9,1755757856,BURIED_TREASURE,BRIDGE,3c8757790ab0400b8b9e3936e0dd535b,83558fcba1934a3486ef6c1f21c799f8,doogile,Airpodsz,606.482,98.848,156.921,135.995,137.986,73.923,87.821,15.121,,554.553,,51.929,,1,1,1795,1590,False,3c8757790ab0400b8b9e3936e0dd535b
21,2804863,9,1755758098,SHIPWRECK,HOUSING,253b53d832ab4bafb5ee0308d5164ccf,d44d0711f1a14ca3b06aad5dbd890216,Aquacorde,hellmoder,545.063,112.08,113.506,153.25,169.822,76.052,76.501,14.125,,494.535,,50.528,,1,1,1650,1397,False,253b53d832ab4bafb5ee0308d5164ccf
